numeric.date,crosser,group,focal.plant,focal.type,mom,mom.loc,mom.type,dad,dad.loc,dad.type,cross.ind,cross.loc,cross.type,w.capsule,n.seeds,seed1,seed2,seed3,seed4,r.cross.type,mom.geo,mom.sp,dad.geo,dad.sp,mom.pop,dad.pop,r.geo,r.sp,min1seed,minfert,intraspecific
42988,Kate,27,110SL,SL,110SL,CHAD,SL,103SL,CCR,SL,103xx110,CCRxxCHAD,SLxxSL,120.2,4,27,28.6,26.5,28.3,SLxSL,S,L,S,L,CHAD.L,CCR.L,SxS,LxL,TRUE,TRUE,TRUE
42986,Kate,27,110SL,SL,110SL,CHAD,SL,103SL,CCR,SL,103xx110,CCRxxCHAD,SLxxSL,109,4,25.2,24.3,25.1,25.5,SLxSL,S,L,S,L,CHAD.L,CCR.L,SxS,LxL,TRUE,TRUE,TRUE
42983,Kate,27,110SL,SL,9AL,PCB,AL,110SL,CHAD,SL,110xx9,CHADxxPCB,ALxxSL,0,0,NA,NA,NA,NA,ALxSL,A,L,S,L,PCB.L,CHAD.L,AxS,LxL,FALSE,FALSE,TRUE
42985,Kate,27,110SL,SL,9AL,PCB,AL,110SL,CHAD,SL,110xx9,CHADxxPCB,ALxxSL,0,0,NA,NA,NA,NA,ALxSL,A,L,S,L,PCB.L,CHAD.L,AxS,LxL,FALSE,FALSE,TRUE
42981,Kate,27,110SL,SL,9AL,PCB,AL,110SL,CHAD,SL,110xx9,CHADxxPCB,ALxxSL,0,0,NA,NA,NA,NA,ALxSL,A,L,S,L,PCB.L,CHAD.L,AxS,LxL,FALSE,FALSE,TRUE
42985,Kate,27,110SL,SL,9AL,PCB,AL,110SL,CHAD,SL,110xx9,CHADxxPCB,ALxxSL,68.5,2,30.4,30.1,1,1,ALxSL,A,L,S,L,PCB.L,CHAD.L,AxS,LxL,TRUE,TRUE,TRUE
42979,Kate,27,110SL,SL,9AL,PCB,AL,110SL,CHAD,SL,110xx9,CHADxxPCB,ALxxSL,34.2,1,28.3,0.2,0.2,0.2,ALxSL,A,L,S,L,PCB.L,CHAD.L,AxS,LxL,TRUE,TRUE,TRUE
42979,Kate,27,110SL,SL,9AL,PCB,AL,110SL,CHAD,SL,110xx9,CHADxxPCB,ALxxSL,97.5,3,23.9,33.6,30.2,0.6,ALxSL,A,L,S,L,PCB.L,CHAD.L,AxS,LxL,TRUE,TRUE,TRUE
42877,Hanhan,3,117SL,SL,44AC,AUS,AC,117SL,POL,SL,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,POL.L,AxS,CxL,FALSE,FALSE,FALSE
42884,Hanhan,3,117SL,SL,44AC,AUS,AC,117SL,POL,SL,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,POL.L,AxS,CxL,FALSE,FALSE,FALSE
42885,Hanhan,3,117SL,SL,44AC,AUS,AC,117SL,POL,SL,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,POL.L,AxS,CxL,FALSE,FALSE,FALSE
42894,Hanhan,3,117SL,SL,44AC,AUS,AC,117SL,POL,SL,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,POL.L,AxS,CxL,FALSE,FALSE,FALSE
42951,Kate,3,117SL,SL,44AC,AUS,AC,117SL,POL,SL,117xx44,AUSxxPOL,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,POL.L,AxS,CxL,FALSE,FALSE,FALSE
42877,Hanhan,3,117SL,SL,102SC,CHAD,SC,117SL,POL,SL,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SCxSL,S,C,S,L,CHAD.C,POL.L,SxS,CxL,FALSE,FALSE,FALSE
42888,Hanhan,3,117SL,SL,102SC,CHAD,SC,117SL,POL,SL,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SCxSL,S,C,S,L,CHAD.C,POL.L,SxS,CxL,FALSE,FALSE,FALSE
42959,Kate,3,117SL,SL,102SC,CHAD,SC,117SL,POL,SL,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SCxSL,S,C,S,L,CHAD.C,POL.L,SxS,CxL,FALSE,FALSE,FALSE
42959,Kate,3,117SL,SL,102SC,CHAD,SC,117SL,POL,SL,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SCxSL,S,C,S,L,CHAD.C,POL.L,SxS,CxL,FALSE,FALSE,FALSE
42962,Kate,3,117SL,SL,102SC,CHAD,SC,117SL,POL,SL,102xx117,CHADxxPOL,SCxxSL,0,0,NA,NA,NA,NA,SCxSL,S,C,S,L,CHAD.C,POL.L,SxS,CxL,FALSE,FALSE,FALSE
42982,Kate,3,117SL,SL,110SL,CHAD,SL,117SL,POL,SL,110xx117,CHADxxPOL,SLxxSL,34.2,1,33.9,0.1,0.1,NA,SLxSL,S,L,S,L,CHAD.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42979,Kate,3,117SL,SL,110SL,CHAD,SL,117SL,POL,SL,110xx117,CHADxxPOL,SLxxSL,109.1,4,28.5,28.8,28.6,24.5,SLxSL,S,L,S,L,CHAD.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42982,Kate,3,117SL,SL,110SL,CHAD,SL,117SL,POL,SL,110xx117,CHADxxPOL,SLxxSL,108.5,4,27.3,28.5,27.2,27,SLxSL,S,L,S,L,CHAD.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42979,Kate,3,117SL,SL,110SL,CHAD,SL,117SL,POL,SL,110xx117,CHADxxPOL,SLxxSL,110.7,4,27.2,28,26.6,29.1,SLxSL,S,L,S,L,CHAD.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42982,Kate,3,117SL,SL,110SL,CHAD,SL,117SL,POL,SL,110xx117,CHADxxPOL,SLxxSL,110.5,4,27.1,28.9,26.7,28.7,SLxSL,S,L,S,L,CHAD.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42979,Kate,3,117SL,SL,110SL,CHAD,SL,117SL,POL,SL,110xx117,CHADxxPOL,SLxxSL,0.3,0,0.2,0,0,NA,SLxSL,S,L,S,L,CHAD.L,POL.L,SxS,LxL,FALSE,FALSE,TRUE
42970,Kate,3,117SL,SL,97AL,KS,AL,117SL,POL,SL,117xx97,KSxxPOL,ALxxSL,0,0,NA,NA,NA,NA,ALxSL,A,L,S,L,KS.L,POL.L,AxS,LxL,FALSE,FALSE,TRUE
42893,Hanhan,3,117SL,SL,97AL,KS,AL,117SL,POL,SL,117xx97,KSxxPOL,ALxxSL,87.5,3,29.1,29.1,29.3,0.6,ALxSL,A,L,S,L,KS.L,POL.L,AxS,LxL,TRUE,TRUE,TRUE
42970,Kate,3,117SL,SL,97AL,KS,AL,117SL,POL,SL,117xx97,KSxxPOL,ALxxSL,102.5,4,25.9,24.8,25.8,26.6,ALxSL,A,L,S,L,KS.L,POL.L,AxS,LxL,TRUE,TRUE,TRUE
42893,Hanhan,3,117SL,SL,97AL,KS,AL,117SL,POL,SL,117xx97,KSxxPOL,ALxxSL,105.4,4,25.6,26.6,26.7,26.7,ALxSL,A,L,S,L,KS.L,POL.L,AxS,LxL,TRUE,TRUE,TRUE
42962,Kate,3,117SL,SL,97AL,KS,AL,117SL,POL,SL,117xx97,KSxxPOL,ALxxSL,49.2,2,24.3,24.3,0.4,0.5,ALxSL,A,L,S,L,KS.L,POL.L,AxS,LxL,TRUE,TRUE,TRUE
