numeric.date,crosser,group,focal.plant,focal.type,mom,mom.loc,mom.type,dad,dad.loc,dad.type,cross.ind,cross.loc,cross.type,w.capsule,n.seeds,seed1,seed2,seed3,seed4,r.cross.type,mom.geo,mom.sp,dad.geo,dad.sp,mom.pop,dad.pop,r.geo,r.sp,min1seed,minfert,intraspecific
42936,Kate,10,11AC,AC,83SC,CHAD,SC,11AC,AUS,AC,11xx83,AUSxxCHAD,ACxxSC,0,0,NA,NA,NA,NA,SCxAC,S,C,A,C,CHAD.C,AUS.C,SxA,CxC,FALSE,FALSE,TRUE
42955,Kate,10,11AC,AC,83SC,CHAD,SC,11AC,AUS,AC,11xx83,AUSxxCHAD,ACxxSC,61.4,3,18.5,18.6,18.3,0,SCxAC,S,C,A,C,CHAD.C,AUS.C,SxA,CxC,TRUE,TRUE,TRUE
42933,Kate,10,11AC,AC,83SC,CHAD,SC,11AC,AUS,AC,11xx83,AUSxxCHAD,ACxxSC,40.1,2,17.7,17.4,0,0,SCxAC,S,C,A,C,CHAD.C,AUS.C,SxA,CxC,TRUE,TRUE,TRUE
42955,Kate,10,11AC,AC,83SC,CHAD,SC,11AC,AUS,AC,11xx83,AUSxxCHAD,ACxxSC,72.4,4,17.4,16.8,16.9,15.5,SCxAC,S,C,A,C,CHAD.C,AUS.C,SxA,CxC,TRUE,TRUE,TRUE
42953,Kate,10,11AC,AC,83SC,CHAD,SC,11AC,AUS,AC,11xx83,AUSxxCHAD,ACxxSC,36.4,2,15.9,16.3,0,0,SCxAC,S,C,A,C,CHAD.C,AUS.C,SxA,CxC,TRUE,TRUE,TRUE
42953,Kate,10,11AC,AC,83SC,CHAD,SC,11AC,AUS,AC,11xx83,AUSxxCHAD,ACxxSC,14.4,1,12,0,0,0,SCxAC,S,C,A,C,CHAD.C,AUS.C,SxA,CxC,TRUE,TRUE,TRUE
42933,Kate,10,11AC,AC,3SL,CHAD,SL,11AC,AUS,AC,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CHAD.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42933,Kate,10,11AC,AC,3SL,CHAD,SL,11AC,AUS,AC,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CHAD.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42936,Kate,10,11AC,AC,3SL,CHAD,SL,11AC,AUS,AC,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CHAD.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42936,Kate,10,11AC,AC,3SL,CHAD,SL,11AC,AUS,AC,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CHAD.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42939,Kate,10,11AC,AC,3SL,CHAD,SL,11AC,AUS,AC,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CHAD.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42939,Kate,10,11AC,AC,3SL,CHAD,SL,11AC,AUS,AC,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CHAD.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42953,Kate,10,11AC,AC,150AC,Ocean,AC,11AC,AUS,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,Ocean.C,AUS.C,AxA,CxC,FALSE,FALSE,TRUE
42959,Kate,10,11AC,AC,150AC,Ocean,AC,11AC,AUS,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,Ocean.C,AUS.C,AxA,CxC,FALSE,FALSE,TRUE
43025,Kate,10,11AC,AC,150AC,Ocean,AC,11AC,AUS,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,Ocean.C,AUS.C,AxA,CxC,FALSE,FALSE,TRUE
43025,Kate,10,11AC,AC,150AC,Ocean,AC,11AC,AUS,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,Ocean.C,AUS.C,AxA,CxC,FALSE,FALSE,TRUE
43027,Kate,10,11AC,AC,150AC,Ocean,AC,11AC,AUS,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,Ocean.C,AUS.C,AxA,CxC,FALSE,FALSE,TRUE
